Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
170,Alfie Devine,eng ENG,"MF,FW",Plymouth Argyle,18,2004,9.4,10,7,3,5,2,4,9,44.4,5,8,2,6,6,16,11,0,Matches
171,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24,1998,40.4,46,29,18,24,4,23,38,60.5,15,40,4,36,17,63,32,1,Matches
172,Bambo Diaby,sn SEN,DF,Sheffield Weds,25,1997,25.2,31,21,20,9,2,18,28,64.3,10,34,21,13,24,55,98,1,Matches
173,Lamine Diaby,fr FRA,MF,Sheffield Weds,26,1996,2.9,8,3,4,3,1,5,12,41.7,7,5,2,3,5,13,5,0,Matches
174,Grady Diangana,cd COD,"MF,FW",West Brom,25,1998,26.1,30,17,15,13,2,13,24,54.2,11,32,1,31,8,38,6,0,Matches
175,Brahima Diarra,ml MLI,"MF,FW",Huddersfield,20,2003,7.3,20,11,7,7,6,8,20,40.0,12,13,3,10,4,24,4,0,Matches
176,Tyler Dibling,eng ENG,FW,Southampton,17,2006,0.0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
177,Robert Dickie,eng ENG,DF,Bristol City,27,1996,38.9,48,27,30,16,2,30,53,56.6,23,42,22,20,66,114,124,1,Matches
178,Famara Diedhiou,sn SEN,FW,Cardiff City,30,1992,6.4,5,5,1,3,1,2,6,33.3,4,5,2,3,2,7,5,0,Matches
179,Seny Dieng,sn SEN,GK,Middlesbrough,28,1994,35.0,4,3,4,0,0,3,5,60.0,2,0,0,0,0,4,18,4,Matches
180,Anfernee Dijksteel,sr SUR,DF,Middlesbrough,26,1996,8.3,9,6,7,2,0,5,12,41.7,7,14,5,9,13,22,15,0,Matches
181,Daryl Dike,us USA,FW,West Brom,23,2000,0.6,2,0,0,2,0,1,1,100.0,0,1,0,1,1,3,1,0,Matches
182,Elijah Dixon-Bonner,eng ENG,MF,QPR,22,2001,10.0,10,4,5,3,2,4,11,36.4,7,18,5,13,5,15,10,0,Matches
183,Greg Docherty,sct SCO,MF,Hull City,26,1996,3.6,6,4,4,2,0,3,14,21.4,11,4,2,2,3,9,12,0,Matches
184,Tyrhys Dolan,eng ENG,"FW,MF",Blackburn,21,2001,25.8,26,16,6,14,6,7,26,26.9,19,25,2,23,10,36,10,0,Matches
185,Janoi Donacien,lc LCA,DF,Ipswich Town,29,1993,2.4,5,2,4,1,0,2,2,100.0,0,4,0,4,2,7,4,0,Matches
186,Romelle Donovan,eng ENG,FW,Birmingham City,16,2006,1.4,2,2,0,2,0,2,6,33.3,4,4,0,4,1,3,1,0,Matches
187,Flynn Downes,eng ENG,MF,Southampton,24,1999,28.3,60,39,17,32,11,22,38,57.9,16,31,10,21,47,107,22,0,Matches
188,Callum Doyle,eng ENG,DF,Leicester City,19,2003,13.4,41,29,17,21,3,28,39,71.8,11,21,7,14,15,56,37,1,Matches
189,Andre Dozzell,eng ENG,MF,QPR,24,1999,21.8,28,16,12,11,5,9,21,42.9,12,16,8,8,20,48,23,0,Matches
190,Andre Dozzell,eng ENG,MF,Birmingham City,24,1999,7.0,15,9,5,8,2,7,8,87.5,1,10,2,8,4,19,2,0,Matches
191,Cody Drameh,eng ENG,DF,Leeds United,21,2001,0.2,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,0,1,Matches
192,Cody Drameh,eng ENG,DF,Birmingham City,21,2001,25.1,80,55,50,23,7,45,68,66.2,23,49,8,41,24,104,92,4,Matches
193,Aaron Drewe,eng ENG,DF,QPR,22,2001,1.0,3,1,2,0,1,2,4,50.0,2,2,0,2,1,4,5,0,Matches
194,Shane Duffy,ie IRL,DF,Norwich City,31,1992,33.4,35,22,27,6,2,18,30,60.0,12,66,47,19,33,68,187,2,Matches
195,Stephen Duke-McKenna,gy GUY,"MF,FW",QPR,22,2000,1.6,3,1,0,3,0,2,4,50.0,2,4,1,3,5,8,2,0,Matches
196,Jimmy Dunne,ie IRL,DF,QPR,25,1997,26.0,48,26,31,14,3,20,27,74.1,7,19,10,9,23,71,121,0,Matches
197,Lyndon Dykes,sct SCO,"FW,MF",QPR,27,1995,30.4,35,29,7,21,7,12,23,52.2,11,27,4,23,13,48,43,0,Matches
198,Albert Eames,eng ENG,DF,Watford,17,2005,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
199,Saxon Earley,eng ENG,DF,Plymouth Argyle,20,2002,1.0,1,1,1,0,0,0,2,0.0,2,5,1,4,1,2,5,0,Matches
200,Tom Eaves,eng ENG,FW,Rotherham Utd,31,1992,11.8,8,6,4,3,1,2,14,14.3,12,8,1,7,0,8,24,0,Matches
201,Josh Eccles,eng ENG,MF,Coventry City,23,2000,36.4,99,60,46,44,9,43,89,48.3,46,59,14,45,44,143,58,2,Matches
202,Rarmani Edmonds-Green,eng ENG,"MF,DF",Huddersfield,24,1999,6.7,12,5,6,6,0,7,9,77.8,2,7,4,3,7,19,13,0,Matches
203,George Edmundson,eng ENG,DF,Ipswich Town,25,1997,9.9,16,10,11,5,0,12,18,66.7,6,6,4,2,5,21,42,0,Matches
204,Samuel Edozie,eng ENG,"FW,MF",Southampton,20,2003,15.2,31,17,13,8,10,10,24,41.7,14,16,3,13,9,40,9,0,Matches
205,Joe Edwards,eng ENG,"DF,MF",Plymouth Argyle,32,1990,24.1,52,36,24,23,5,29,62,46.8,33,41,8,33,37,89,74,0,Matches
206,Tom Edwards,eng ENG,DF,Huddersfield,24,1999,7.5,21,16,9,11,1,12,23,52.2,11,8,4,4,10,31,26,0,Matches
207,Pierre Ekwah Elimby,fr FRA,MF,Sunderland,21,2002,33.5,58,30,22,28,8,32,60,53.3,28,45,10,35,36,94,38,0,Matches
208,Aidomo Emakhu,ie IRL,"MF,FW",Millwall,19,2003,7.4,19,13,9,5,5,9,15,60.0,6,6,0,6,2,21,4,1,Matches
209,Lukas Engel,dk DEN,DF,Middlesbrough,24,1998,27.5,68,41,43,18,7,41,75,54.7,34,44,11,33,51,119,75,2,Matches
210,Niall Ennis,eng ENG,FW,Stoke City,24,1999,7.4,9,4,4,1,4,1,5,20.0,4,10,3,7,0,9,3,0,Matches
211,Niall Ennis,eng ENG,FW,Blackburn,24,1999,3.8,5,3,2,2,1,3,5,60.0,2,1,0,1,0,5,2,0,Matches
212,Romain Esse,eng ENG,"MF,FW",Millwall,18,2005,8.3,23,13,12,7,4,9,19,47.4,10,11,1,10,7,30,4,0,Matches
213,Oscar Estupiñan,co COL,FW,Hull City,26,1996,0.8,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,Matches
