Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Scott Twine,ENG,"FW,MF",Hull City,24.0,1999.0,20.0,921,20,123,364,444,52,920,31,11,35.5,13,41.9,517,2350,1191,30,25,14,20,24,607,104
Josh Tymon,ENG,DF,Stoke City,24.0,1999.0,0.7,28,4,10,7,11,1,28,3,2,66.7,1,33.3,17,119,49,1,0,0,2,0,17,7
Josh Tymon,ENG,DF,Swansea City,24.0,1999.0,37.0,2631,95,727,1234,687,24,2631,39,23,59.0,12,30.8,1304,7549,4020,114,84,5,44,18,1584,151
Ike Ugbo,CAN,FW,Cardiff City,24.0,1998.0,10.4,282,13,33,143,108,29,282,12,3,25.0,7,58.3,140,471,180,3,9,3,28,8,196,32
Ike Ugbo,CAN,"FW,MF",Sheffield Weds,24.0,1998.0,14.4,396,11,60,186,157,51,396,30,10,33.3,15,50.0,220,916,357,9,9,3,40,27,264,57
Hwang Ui-jo,KOR,"FW,MF",Norwich City,30.0,1992.0,8.6,223,3,17,114,94,30,223,16,10,62.5,5,31.3,133,540,215,8,6,2,17,3,160,35
Pol Valentín,ESP,"DF,MF",Sheffield Weds,26.0,1997.0,24.5,1170,61,366,503,323,31,1170,77,46,59.7,26,33.8,551,4087,1909,74,37,18,39,29,622,99
Jamie Vardy,ENG,FW,Leicester City,36.0,1987.0,19.6,502,13,42,242,222,111,497,22,10,45.5,10,45.5,257,1089,375,13,6,6,33,5,351,105
Devis Vásquez,COL,GK,Sheffield Weds,25.0,1998.0,9.0,390,321,386,4,0,0,390,0,0,,0,,198,1008,449,0,0,0,0,0,163,0
Harry Vaughan,IRL,"MF,FW",Hull City,19.0,2004.0,1.6,74,2,14,38,24,6,74,8,2,25.0,6,75.0,49,363,188,5,2,3,3,1,48,14
Will Vaulks,WAL,MF,Sheffield Weds,29.0,1993.0,26.2,1883,85,472,965,463,8,1883,15,10,66.7,5,33.3,668,1927,823,4,8,2,32,13,857,36
Jannik Vestergaard,DEN,DF,Leicester City,30.0,1992.0,41.3,4528,520,2124,2305,110,32,4528,18,11,61.1,6,33.3,2907,14666,9504,30,26,0,13,5,3472,3
André Vidigal,ANG,"FW,MF",Stoke City,24.0,1998.0,18.7,732,9,63,248,431,74,731,43,16,37.2,25,58.1,460,2996,1091,53,34,18,54,33,535,172
Rúben Vinagre,POR,DF,Hull City,24.0,1999.0,5.5,372,19,118,163,99,9,372,22,10,45.5,12,54.5,187,1323,560,18,9,5,10,13,221,29
Andreas Voglsammer,GER,"DF,FW",Millwall,31.0,1992.0,0.5,22,2,5,8,9,1,22,0,0,,0,,11,35,6,1,0,0,0,0,15,3
Zak Vyner,KEN,DF,Bristol City,26.0,1997.0,35.0,2561,325,1391,1131,59,22,2561,11,8,72.7,3,27.3,1348,5050,2578,10,7,0,13,1,1742,2
Leopold Wahlstedt,SWE,GK,Blackburn,24.0,1999.0,20.3,876,728,870,6,0,0,876,0,0,,0,,450,1867,1117,0,0,0,1,0,438,0
Ben Waine,NZL,FW,Plymouth Argyle,22.0,2001.0,10.2,211,9,22,102,92,32,211,15,5,33.3,9,60.0,117,615,145,5,5,4,29,6,144,37
Kyle Walker-Peters,ENG,DF,Southampton,26.0,1997.0,42.9,3670,130,783,1790,1148,139,3670,160,83,51.9,55,34.4,2312,15236,8482,250,127,72,50,56,2672,253
Jed Wallace,ENG,"FW,MF",West Brom,29.0,1994.0,31.3,1234,18,156,503,601,82,1234,117,33,28.2,76,65.0,774,4737,2336,86,36,22,82,28,888,221
Murray Wallace,SCO,DF,Millwall,30.0,1993.0,23.0,1400,95,528,670,216,37,1400,19,10,52.6,8,42.1,587,2685,1485,20,25,2,29,5,733,38
