Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Keny Arroyo,ECU,FW,Cruzeiro,18,2006,7.2,155,200,77.5,2222,513,91,103,88.3,45,56,80.4,8,12,66.7,1,1.3,0.5,-0.3,13,8,5,1,16
Arthur,BRA,FW,Sport Recife,21,2003,2.2,26,30,86.7,348,42,16,18,88.9,9,10,90.0,0,0,,0,0.3,0.1,-0.3,8,1,0,0,1
Artur,BRA,"FW,MF",Botafogo (RJ),26,1998,21.3,488,639,76.4,8000,2131,243,287,84.7,196,256,76.6,34,63,54.0,4,3.5,4.2,0.5,39,38,32,9,79
Rodrigo Atencio,ARG,"MF,FW",Sport Recife,22,2002,6.0,266,334,79.6,5036,1226,125,140,89.3,88,106,83.0,45,72,62.5,0,0.5,1.3,-0.5,13,33,4,0,41
Loide Augusto,ANG,"FW,MF",Vasco da Gama,24,2000,2.1,65,81,80.2,868,161,40,47,85.1,18,22,81.8,3,3,100.0,0,0.2,0.1,-0.2,4,5,2,1,5
Leo Augusto Pereira,BRA,"FW,MF",Vitória,24,2000,1.8,16,27,59.3,186,24,15,16,93.8,1,5,20.0,0,1,0.0,0,0.1,0.0,-0.1,3,0,0,0,0
Leo Augusto Pereira,BRA,"FW,MF",Sport Recife,24,2000,12.3,111,200,55.5,1570,445,69,86,80.2,31,62,50.0,6,23,26.1,1,1.1,0.8,-0.1,5,4,10,4,11
Renato Augusto,BRA,"MF,FW",Fluminense,36,1988,0.2,3,3,100.0,53,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Gastón Ávila,ARG,DF,Fortaleza,23,2001,25.8,747,1004,74.4,16056,6792,240,271,88.6,368,426,86.4,131,275,47.6,0,0.2,0.5,-0.2,6,69,10,3,64
Aylon,BRA,"FW,MF",Ceará,32,1992,8.8,144,203,70.9,1924,451,102,124,82.3,34,50,68.0,4,8,50.0,0,0.1,0.4,-0.1,2,10,6,3,18
Matheus Babi,BRA,FW,Juventude,27,1997,5.3,55,85,64.7,747,110,36,47,76.6,17,27,63.0,1,3,33.3,0,0.1,0.2,-0.1,4,3,1,0,4
Bahia,BRA,MF,Corinthians,19,2006,0.5,13,17,76.5,169,63,8,9,88.9,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2
Gabriel Bahia,BRA,DF,Botafogo (RJ),26,1998,2.6,163,179,91.1,2811,1012,62,65,95.4,89,96,92.7,10,14,71.4,0,0.0,0.0,0.0,0,10,0,0,10
Matheus Bahia,BRA,DF,Ceará,25,1999,27.4,865,1150,75.2,15348,6487,384,440,87.3,382,492,77.6,89,161,55.3,1,1.6,3.1,-0.6,20,80,37,26,95
Fabián Balbuena,PAR,DF,Grêmio,33,1991,2.5,143,167,85.6,2729,1151,50,57,87.7,73,80,91.3,16,25,64.0,0,0.0,0.0,0.0,1,9,0,0,7
Gabriel Baralhas,BRA,MF,Vitória,26,1998,25.3,697,843,82.7,11809,3415,340,387,87.9,287,328,87.5,56,83,67.5,1,0.5,0.8,0.5,14,80,12,1,87
Danilo Barbosa,BRA,"DF,MF",Botafogo (RJ),28,1996,0.4,12,12,100.0,199,101,6,6,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2
Diogo Barbosa,BRA,DF,Fortaleza,32,1992,13.8,359,447,80.3,5506,2214,188,202,93.1,136,167,81.4,19,44,43.2,0,0.9,1.1,-0.9,12,33,8,3,39
Gabriel Barbosa,BRA,"FW,MF",Cruzeiro,28,1996,12.0,246,296,83.1,3753,880,149,164,90.9,64,75,85.3,21,32,65.6,2,1.2,1.2,0.8,12,21,11,2,40
Lucas Barbosa,BRA,"FW,MF",RB Bragantino,23,2001,25.9,470,707,66.5,8106,2101,217,290,74.8,197,270,73.0,43,83,51.8,3,1.6,1.7,1.4,16,37,18,6,63
Alexander Barboza,ARG,DF,Botafogo (RJ),29,1995,23.9,1200,1427,84.1,23472,9638,382,416,91.8,659,724,91.0,139,252,55.2,0,0.1,0.3,-0.1,3,109,4,0,101
Adam Bareiro,PAR,FW,Fortaleza,28,1996,9.8,127,196,64.8,1811,372,79,110,71.8,32,48,66.7,8,11,72.7,2,0.5,0.6,1.5,6,10,4,0,18
Chrystian Barletta,BRA,"FW,MF",Sport Recife,23,2001,16.7,340,499,68.1,4497,1418,222,267,83.1,82,121,67.8,16,42,38.1,0,1.8,2.9,-1.8,14,32,17,3,47
Álvaro Barreal,ARG,"FW,MF",Santos,24,2000,24.9,726,978,74.2,12897,3924,370,430,86.0,253,315,80.3,88,177,49.7,1,3.6,3.5,-2.6,41,62,21,9,75
Jordan Barrera,COL,"FW,MF",Botafogo (RJ),18,2006,3.4,76,96,79.2,1264,233,39,43,90.7,33,41,80.5,3,9,33.3,0,0.3,0.3,-0.3,4,5,4,3,6
Cauan Barros,BRA,MF,Vasco da Gama,20,2004,14.9,750,840,89.3,12941,3869,338,368,91.8,342,365,93.7,55,84,65.5,0,0.5,0.8,-0.5,8,69,0,0,62
Enmerson Batalla,COL,"FW,MF",Juventude,23,2001,14.6,237,340,69.7,4022,1003,116,137,84.7,86,120,71.7,27,54,50.0,2,0.7,0.9,1.3,13,22,13,7,34
Paulo Baya,BRA,FW,Ceará,25,1999,4.8,108,167,64.7,1869,434,59,74,79.7,35,55,63.6,13,34,38.2,0,0.5,0.6,-0.5,7,4,5,3,7
Paulo Baya,BRA,"MF,FW",Fluminense,25,1999,0.4,14,18,77.8,174,34,10,11,90.9,4,5,80.0,0,0,,1,0.0,0.0,1.0,1,0,1,0,1
José Luis Rodríguez Bebanz,URU,DF,Vasco da Gama,27,1997,16.1,655,813,80.6,10209,2294,377,412,91.5,226,282,80.1,39,86,45.3,2,2.0,2.2,0.0,16,32,13,9,36
Erick Belé,BRA,MF,Palmeiras,18,2007,0.3,10,11,90.9,224,134,2,2,100.0,5,6,83.3,3,3,100.0,0,0.1,0.0,-0.1,1,2,1,0,4
Luis Benedetti,BRA,DF,Palmeiras,18,2006,4.2,149,161,92.5,2801,932,46,49,93.9,88,91,96.7,13,18,72.2,0,0.0,0.3,0.0,2,9,2,0,13
Alan Benítez,PAR,"DF,FW",Internacional,31,1994,6.1,248,317,78.2,4128,1625,118,130,90.8,104,133,78.2,20,32,62.5,0,0.5,0.5,-0.5,7,18,7,2,22
Alexandro Bernabei,ARG,DF,Internacional,24,2000,28.7,1297,1712,75.8,21290,7891,662,751,88.1,513,654,78.4,98,200,49.0,4,4.8,4.8,-0.8,50,102,43,25,134
Facundo Bernal,URU,MF,Fluminense,21,2003,11.5,490,577,84.9,8522,2255,226,250,90.4,206,232,88.8,44,73,60.3,0,0.3,0.8,-0.3,6,53,4,0,40
Bernard,BRA,"MF,FW",Atlético Mineiro,32,1992,13.4,529,670,79.0,8364,2024,286,332,86.1,190,229,83.0,41,64,64.1,1,1.9,1.9,-0.9,36,44,25,7,76
Bernardo,BRA,DF,Juventude,19,2005,0.5,13,19,68.4,277,61,3,4,75.0,8,11,72.7,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Matheus Bianqui,BRA,"MF,FW",Mirassol,27,1998,1.6,22,38,57.9,274,69,16,21,76.2,5,8,62.5,1,3,33.3,0,0.5,0.2,-0.5,1,0,1,0,2
Matheus Bidu,BRA,DF,Corinthians,25,1999,21.8,1075,1350,79.6,17884,6168,502,567,88.5,468,542,86.3,81,154,52.6,2,5.0,4.1,-3.0,36,70,16,10,73
Biel,BRA,"FW,MF",Atlético Mineiro,23,2001,6.6,167,212,78.8,2412,511,99,114,86.8,55,63,87.3,6,9,66.7,2,2.5,1.6,-0.5,11,11,5,2,15
Rafael Bilu,BRA,"FW,MF",Juventude,25,1999,7.6,135,178,75.8,2057,611,71,83,85.5,51,65,78.5,6,11,54.5,0,0.7,0.6,-0.7,10,13,6,2,26
