Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Vanderlan,BRA,DF,RB Bragantino,22,2002,11.7,634,31,218,265,161,9,634,18,10,55.6,8,44.4,338,1636,985,16,12,4,16,3,359,46
Guillermo Varela,URU,DF,Flamengo,31,1993,14.7,998,38,230,435,338,27,998,13,7,53.8,6,46.2,508,2346,1032,23,21,3,17,6,672,113
Pablo Vegetti,ARG,FW,Vasco da Gama,36,1988,25.9,589,43,94,295,204,95,586,7,0,0.0,4,57.1,257,826,258,5,2,3,41,10,359,57
Raphael Veiga,BRA,MF,Palmeiras,29,1995,11.9,639,9,71,314,258,24,638,16,6,37.5,6,37.5,338,1539,680,13,8,1,22,13,429,45
Fausto Vera,ARG,MF,Atlético Mineiro,24,2000,12.5,765,25,177,490,108,6,765,13,6,46.2,7,53.8,462,2114,1017,15,8,0,7,12,531,10
Gabriel Veron,BRA,"FW,MF",Santos,22,2002,1.4,60,0,9,23,29,5,60,6,0,0.0,5,83.3,33,202,147,5,1,2,1,4,40,9
Gabriel Veron,BRA,"FW,MF",Juventude,22,2002,7.1,231,2,43,85,112,16,231,30,12,40.0,17,56.7,134,942,498,17,7,6,15,5,158,43
João Victor,BRA,DF,Mirassol,27,1997,34.0,2091,400,1224,823,52,22,2091,6,2,33.3,3,50.0,1192,5250,3057,10,6,0,14,2,1369,5
João Victor,BRA,FW,Ceará,20,2004,0.1,4,0,0,1,3,0,4,0,0,,0,,2,8,3,0,0,0,0,0,2,1
João Victor,BRA,DF,Vasco da Gama,26,1998,15.9,1189,139,541,602,53,14,1189,11,4,36.4,6,54.5,708,2946,1650,5,4,0,10,1,820,7
João Victor,BRA,DF,Flamengo,18,2007,2.2,157,25,90,60,7,0,157,2,0,0.0,2,100.0,103,451,302,0,2,0,1,0,114,2
Marcos Victor,BRA,DF,Ceará,23,2001,14.9,660,130,347,292,26,9,660,13,6,46.2,5,38.5,362,1910,1156,8,6,0,8,1,375,1
Lucas Vieira,BRA,MF,Flamengo,17,2007,0.2,8,2,3,5,1,0,8,0,0,,0,,3,18,11,1,1,0,0,0,2,0
Viery,BRA,DF,Grêmio,20,2005,0.6,48,12,26,20,2,0,48,0,0,,0,,19,110,68,0,0,0,2,0,18,1
Lucas Villalba,ARG,DF,Cruzeiro,30,1994,31.8,1856,217,859,902,104,23,1856,14,12,85.7,1,7.1,1074,7067,4628,54,27,2,14,2,1174,12
Mathías Villasanti,PAR,MF,Grêmio,28,1997,12.8,695,40,173,422,110,11,695,24,14,58.3,9,37.5,319,1555,743,15,10,3,14,13,369,14
Matías Viña,URU,DF,Flamengo,27,1997,3.1,231,7,43,122,68,3,231,7,6,85.7,1,14.3,128,654,412,9,10,1,7,3,148,17
Vinícius,BRA,MF,Ceará,33,1991,6.3,388,2,22,206,163,14,388,5,1,20.0,3,60.0,199,746,290,0,10,0,13,4,297,34
Alix Vinicius,BRA,DF,RB Bragantino,25,1999,9.6,569,61,297,250,25,7,569,1,0,0.0,1,100.0,326,1792,940,4,2,0,5,0,360,1
Carlos Vinícius,BRA,FW,Grêmio,29,1995,10.5,243,9,15,108,122,46,240,21,9,42.9,9,42.9,148,646,129,4,6,2,36,13,186,56
Vitão,BRA,DF,Internacional,24,2000,30.2,1745,175,728,952,71,27,1745,3,2,66.7,1,33.3,1004,4434,2561,19,12,1,11,0,1196,3
Vitinho,BRA,"FW,MF",Internacional,25,1999,18.7,769,20,95,311,367,78,769,33,12,36.4,18,54.5,411,1991,941,36,24,20,48,23,530,145
Vitinho,BRA,"FW,MF",Corinthians,31,1993,5.3,262,2,27,113,126,21,262,23,8,34.8,14,60.9,148,970,532,23,10,11,9,10,161,30
Vitinho,BRA,DF,Botafogo (RJ),25,1999,31.5,1724,91,509,659,571,74,1724,50,30,60.0,20,40.0,880,4341,2480,62,38,9,36,14,1026,224
Rayan Vitor,BRA,FW,Vasco da Gama,18,2006,31.5,1051,44,133,461,474,106,1049,80,33,41.3,35,43.8,620,3860,2094,75,52,33,51,30,768,168
Tiago Volpi,BRA,GK,Grêmio,34,1990,32.0,961,798,946,13,3,2,959,2,2,100.0,0,0.0,539,2999,1900,0,0,0,1,0,439,1
Wagner,BRA,DF,Grêmio,25,1999,26.3,1459,235,791,651,26,21,1459,2,1,50.0,1,50.0,798,3736,1920,8,4,0,11,1,929,3
Walace,BRA,MF,Cruzeiro,29,1995,4.3,278,11,73,177,31,1,278,2,2,100.0,0,0.0,157,704,325,3,1,0,7,5,186,1
Wallace,BRA,"FW,MF",Flamengo,19,2005,4.9,231,1,14,79,143,38,231,26,12,46.2,12,46.2,156,934,378,19,5,10,27,7,182,57
Walter,BRA,GK,Mirassol,37,1987,31.0,1018,905,1015,3,0,0,1018,1,1,100.0,0,0.0,668,2895,1721,0,0,0,1,0,551,0
Wanderson,BRA,"FW,MF",Cruzeiro,30,1994,19.9,668,21,103,229,351,41,668,70,33,47.1,35,50.0,358,2719,1460,51,34,18,47,21,394,104
