Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Erick Belé,BRA,MF,Palmeiras,18,2007,0.3,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
Luis Benedetti,BRA,DF,Palmeiras,18,2006,4.2,5,2,3,2,0,2,2,100.0,0,4,3,1,6,11,26,0
Alan Benítez,PAR,"DF,FW",Internacional,31,1994,6.1,12,5,7,5,0,9,16,56.3,7,6,1,5,2,14,24,0
Alexandro Bernabei,ARG,DF,Internacional,24,2000,28.7,78,44,33,31,14,44,95,46.3,51,36,6,30,37,115,71,1
Facundo Bernal,URU,MF,Fluminense,21,2003,11.5,27,19,7,16,4,18,29,62.1,11,16,5,11,9,36,17,0
Bernard,BRA,"MF,FW",Atlético Mineiro,32,1992,13.4,29,14,9,11,9,14,28,50.0,14,12,2,10,9,38,8,0
Bernardo,BRA,DF,Juventude,19,2005,0.5,2,2,0,0,2,1,1,100.0,0,1,0,1,1,3,0,0
Matheus Bianqui,BRA,"MF,FW",Mirassol,27,1998,1.6,6,6,0,5,1,2,2,100.0,0,3,0,3,0,6,7,0
Matheus Bidu,BRA,DF,Corinthians,25,1999,21.8,35,27,18,10,7,19,33,57.6,14,28,7,21,23,58,44,2
Biel,BRA,"FW,MF",Atlético Mineiro,23,2001,6.6,8,4,2,2,4,4,8,50.0,4,3,0,3,4,12,2,1
Rafael Bilu,BRA,"FW,MF",Juventude,25,1999,7.6,9,6,2,6,1,5,13,38.5,8,8,1,7,1,10,8,0
Damián Bobadilla,PAR,MF,São Paulo,23,2001,23.3,49,33,11,27,11,17,39,43.6,22,28,4,24,19,68,24,0
Yannick Bolasie,COD,"FW,MF",Cruzeiro,35,1989,2.0,4,1,2,1,1,3,4,75.0,1,1,0,1,1,5,10,0
Gabriel Bontempo,BRA,"MF,FW",Santos,20,2005,11.1,30,15,16,9,5,11,28,39.3,17,10,1,9,20,50,14,0
Thiago Borbas,URU,"FW,MF",RB Bragantino,22,2002,6.4,8,5,3,3,2,5,11,45.5,6,10,2,8,2,10,9,0
Daniel Borges,BRA,DF,Mirassol,31,1993,10.0,14,8,7,4,3,5,14,35.7,9,11,3,8,10,24,33,1
Marllon Borges,BRA,DF,Ceará,32,1992,23.1,25,11,18,6,1,10,19,52.6,9,18,17,1,12,37,149,2
Pedro Borges,BRA,MF,Fortaleza,27,1997,0.4,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Pedro Borges,BRA,MF,Sport Recife,27,1997,5.6,16,9,7,9,0,6,11,54.5,5,6,2,4,7,23,16,0
Rafael Borré,COL,FW,Internacional,29,1995,20.1,37,24,6,15,16,7,22,31.8,15,13,1,12,6,43,19,0
Lucas Braga,BRA,"FW,DF",Vitória,28,1996,10.8,21,13,9,10,2,7,13,53.8,6,15,1,14,6,27,13,0
Bilal Brahimi,ALG,FW,Santos,24,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Martin Braithwaite,DEN,FW,Grêmio,33,1991,16.2,9,5,3,3,3,4,7,57.1,3,5,1,4,3,12,10,0
Gabriel Brazão,BRA,GK,Santos,24,2000,37.7,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,26,3
Brenno,BRA,GK,Fortaleza,25,1999,15.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,8,2
Breno,BRA,"FW,MF",Fortaleza,29,1996,25.3,16,12,7,5,4,6,12,50.0,6,13,0,13,4,20,6,0
Breno,BRA,MF,Corinthians,19,2005,28.0,47,29,17,24,6,20,52,38.5,32,36,6,30,19,66,26,0
Emanuel Brítez,ARG,DF,Fortaleza,32,1992,17.7,24,14,15,8,1,15,22,68.2,7,16,11,5,20,44,99,0
Bruninho,BRA,MF,Fortaleza,19,2005,0.8,2,2,0,1,1,2,3,66.7,1,5,1,4,2,4,0,0
Fabrício Bruno,BRA,DF,Cruzeiro,28,1996,32.8,46,36,29,15,2,25,34,73.5,9,44,26,18,24,70,231,2
Gustavo Caballero,PAR,"FW,DF",Santos,23,2001,3.7,6,5,3,1,2,4,5,80.0,1,3,1,2,8,14,5,0
Arthur Cabral,BRA,FW,Botafogo (RJ),26,1998,16.0,12,5,2,6,4,3,4,75.0,1,9,3,6,1,13,21,0
Cacá,BRA,DF,Corinthians,25,1999,15.6,24,20,14,9,1,20,26,76.9,6,15,9,6,10,34,60,1
Raúl Cáceres,PAR,DF,Vitória,33,1991,18.7,32,21,21,6,5,17,36,47.2,19,15,4,11,9,41,84,0
Cadu,BRA,DF,Atlético Mineiro,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Calebe,BRA,MF,Fortaleza,24,2000,2.5,4,2,0,2,2,1,3,33.3,2,3,1,2,2,6,2,0
Jonathan Calleri,ARG,FW,São Paulo,31,1993,1.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
João Camargo,BRA,FW,Flamengo,17,2007,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Camilo,BRA,"MF,DF",Grêmio,25,1999,8.2,22,11,11,9,2,9,18,50.0,9,10,3,7,16,38,31,0
Camutanga,BRA,DF,Vitória,31,1993,13.8,15,10,9,6,0,7,11,63.6,4,12,4,8,13,28,92,0
Luan Cândido,BRA,DF,Sport Recife,23,2001,14.6,13,6,4,7,2,7,15,46.7,8,33,13,20,17,30,81,0
Germán Cano,ARG,FW,Fluminense,36,1988,16.6,6,4,1,5,0,2,9,22.2,7,6,1,5,2,8,8,1
Agustín Canobbio,URU,"FW,MF",Fluminense,26,1998,23.4,57,32,26,30,1,31,60,51.7,29,27,3,24,12,69,28,1
Aitor Cantalapiedra,ESP,"MF,FW",Vitória,28,1996,14.2,11,7,3,3,5,5,9,55.6,4,10,1,9,4,15,10,0
Juninho Capixaba,BRA,DF,RB Bragantino,27,1997,21.9,50,35,25,19,6,19,45,42.2,26,35,11,24,21,71,81,3
Johan Carbonero,COL,"FW,MF",Internacional,25,1999,16.2,14,8,1,9,4,6,13,46.2,7,17,1,16,2,16,4,0
Felipe Cardoso,BRA,FW,Vitória,21,2003,0.9,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Edson Carioca,BRA,FW,Mirassol,27,1997,13.0,27,17,8,15,4,6,18,33.3,12,20,2,18,5,32,10,0
Igor Cariús,BRA,DF,Sport Recife,31,1993,19.2,47,29,27,17,3,30,48,62.5,18,32,6,26,27,74,85,0
Carlinhos,BRA,FW,Vitória,27,1997,1.8,3,1,0,0,3,0,0,,0,0,0,0,1,4,3,0
Antonio Carlos,BRA,DF,Sport Recife,31,1993,3.0,3,2,3,0,0,0,3,0.0,3,0,0,0,1,4,21,0
Jean Carlos Vicente,BRA,"MF,FW",Juventude,32,1992,2.3,3,3,1,2,0,1,3,33.3,2,3,1,2,0,3,1,0
Ruan Carneiro,BRA,GK,Juventude,34,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jorge Carrascal,COL,"FW,MF",Flamengo,26,1998,9.1,28,15,8,9,11,10,19,52.6,9,8,0,8,4,32,5,0
André Carrillo,PER,MF,Corinthians,33,1991,14.2,24,14,14,9,1,5,19,26.3,14,12,2,10,11,35,11,1
Gabriel Carvalho,BRA,FW,Internacional,17,2007,0.8,2,1,0,2,0,1,1,100.0,0,1,1,0,0,2,1,0
Cássio,BRA,GK,Cruzeiro,37,1987,34.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,6
Iury de Castilho,BRA,FW,Mirassol,29,1995,5.5,7,7,2,5,0,0,4,0.0,4,3,0,3,2,9,4,0
Caue,BRA,DF,RB Bragantino,18,2006,0.5,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0
Murilo Cerqueira,BRA,DF,Palmeiras,27,1997,18.4,28,18,10,17,1,12,24,50.0,12,29,11,18,17,45,86,1
