Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Mauricio,BRA,"MF,FW",Palmeiras,23,2001,17.8,3,40,13,32.5,2.25,0.73,0.08,0.23,19.6,0,0,0,4.1,4.1,0.1,-1.1,-1.1
Maycon,BRA,MF,Corinthians,27,1997,16.6,3,11,3,27.3,0.66,0.18,0.18,0.67,24.0,0,1,1,1.5,0.7,0.06,1.5,1.3
Mayke,BRA,DF,Santos,32,1992,9.1,0,4,0,0.0,0.44,0.0,0.0,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mayke,BRA,DF,Palmeiras,32,1992,2.3,0,1,0,0.0,0.43,0.0,0.0,,18.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Luca Meirelles,BRA,"FW,MF",Santos,17,2007,1.0,0,1,0,0.0,1.01,0.0,0.0,,8.0,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Arthur Melo,BRA,MF,Grêmio,28,1996,12.0,0,13,4,30.8,1.08,0.33,0.0,0.0,23.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Memphis,NED,FW,Corinthians,30,1994,17.2,6,49,17,34.7,2.86,0.99,0.1,0.29,19.7,5,1,2,6.5,4.9,0.1,-0.5,0.1
Nathan Mendes,BRA,DF,RB Bragantino,22,2002,12.9,0,3,0,0.0,0.23,0.0,0.0,,25.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Thiago Mendes,BRA,"MF,DF",Vasco da Gama,32,1992,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Vinicius Mendonça,BRA,FW,RB Bragantino,20,2004,11.5,0,19,7,36.8,1.65,0.61,0.0,0.0,17.8,0,0,0,0.9,0.9,0.04,-0.9,-0.9
Jean Meneses,CHI,FW,Vasco da Gama,31,1993,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ramon Menezes Roma,BRA,DF,Sport Recife,29,1995,20.8,1,15,4,26.7,0.72,0.19,0.07,0.25,10.9,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Gabriel Menino,BRA,"MF,DF",Atlético Mineiro,24,2000,9.9,1,12,4,33.3,1.21,0.4,0.08,0.25,18.8,0,0,0,0.9,0.9,0.08,0.1,0.1
Gabriel Mercado,ARG,DF,Internacional,37,1987,13.3,1,8,3,37.5,0.6,0.23,0.13,0.33,11.8,0,0,0,0.7,0.7,0.09,0.3,0.3
Micael,BRA,DF,Palmeiras,24,2000,14.4,0,7,1,14.3,0.49,0.07,0.0,0.0,11.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Michael,BRA,FW,Flamengo,28,1996,6.9,1,14,6,42.9,2.03,0.87,0.07,0.17,14.2,0,0,0,2.1,2.1,0.15,-1.1,-1.1
Carlos Miguel,BRA,GK,Palmeiras,26,1998,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fernando Miguel,BRA,GK,Ceará,39,1985,7.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Moises,BRA,"FW,MF",Fortaleza,28,1996,4.3,0,14,4,28.6,3.27,0.94,0.0,0.0,17.4,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Miguel Monsalve,COL,"FW,MF",Grêmio,20,2004,3.3,0,4,1,25.0,1.21,0.3,0.0,0.0,21.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Álvaro Montoro,ARG,"FW,MF",Botafogo (RJ),17,2007,10.4,3,16,7,43.8,1.54,0.67,0.19,0.43,16.3,0,0,0,2.2,2.2,0.14,0.8,0.8
Kauã Moraes,BRA,DF,Cruzeiro,18,2006,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Aníbal Moreno,ARG,MF,Palmeiras,25,1999,20.1,0,18,6,33.3,0.9,0.3,0.0,0.0,24.3,0,0,0,0.6,0.6,0.03,-0.6,-0.6
Santiago Moreno,COL,FW,Fluminense,24,2000,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Henry Mosquera,COL,"FW,MF",RB Bragantino,23,2001,8.6,0,17,7,41.2,1.98,0.82,0.0,0.0,22.4,0,0,0,1.3,1.3,0.08,-1.3,-1.3
Gustavo Mosquito,BRA,"FW,MF",Vitória,27,1997,5.3,0,8,4,50.0,1.5,0.75,0.0,0.0,15.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Hugo Moura,BRA,"MF,DF",Vasco da Gama,27,1998,26.8,0,13,5,38.5,0.49,0.19,0.0,0.0,22.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Lucas Moura,BRA,"FW,MF",São Paulo,32,1992,5.0,2,10,3,30.0,2.0,0.6,0.1,0.33,20.3,1,1,1,1.5,0.7,0.07,0.5,0.3
Neto Moura,BRA,MF,Mirassol,28,1996,27.0,1,13,1,7.7,0.48,0.04,0.08,1.0,27.4,0,0,0,0.3,0.3,0.02,0.7,0.7
